Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
21 Jul 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,105.60397026888079,0,0,32.24248204999236
21 Jul 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,102.33841620359415,0,0,32.24248204999236
21 Jul 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,96.19469363313829,0,0,32.24248204999236
21 Jul 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,149.83782801836693,0,0,2.149498803332824
21 Jul 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,119.28341794926848,0,0,0
21 Jul 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028364,0,0,105.01296729404366,0,0,0
21 Jul 21:00,0,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285715,2752.359554191394,0,162.70849988781868,0
21 Jul 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,2509.703572290883,0,102.05049526785609,0
21 Jul 23:00,900,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,1893.8290741092912,0,50.121716130639534,32.24248204999236
22 Jul 00:00,75,37.5,8.76605952838605,0,204.85268064028347,0,97.1428571428571,1328.8030189371123,0,7.926068066138739,32.24248204999234
