Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
21 Jul 22:00,0,21.797203244298867,8323.369478585157,0,18.63990021942489
21 Jul 23:00,0,161.91057375148418,7228.536238511259,0,0
22 Jul 00:00,0,301.69620780189365,5054.351187166853,0,0
21 Jul 01:00,0,492.4224173294354,4046.8063762568468,0,0
21 Jul 02:00,0,588.4132456736047,3875.176080320603,0,0
21 Jul 03:00,0,656.2000883812253,3283.9986291780897,0,0
21 Jul 04:00,0,715.6746303943223,3102.286444024549,0,0
21 Jul 05:00,0,763.5561228562701,3157.03921427738,0,0
21 Jul 06:00,0,756.9534435445499,3116.93589511009,0,0
21 Jul 07:00,0,659.497848393137,2967.7622465809764,0,0
21 Jul 08:00,0,404.51757597290293,3725.1492665050887,0,0
21 Jul 09:00,8962.551193366604,0,536.7779233230495,0,0
21 Jul 10:00,17957.662101547583,0,279.6848768702735,0,0
21 Jul 11:00,18823.0689644595,0,308.78778482290994,0,0
21 Jul 12:00,17995.217787716498,0,313.57511012299807,0,0
21 Jul 13:00,6261.388323998978,0,296.3382676852174,0,0
21 Jul 14:00,0,0,279.4610963458879,0,0
21 Jul 15:00,0,0,287.945248653928,0,0
21 Jul 16:00,0,0,281.2322616850121,0,0
21 Jul 17:00,0,0,267.4092789838367,0,0
21 Jul 18:00,0,0,415.60289069928484,0,0
21 Jul 19:00,0,0,367.3599424673521,0,0
21 Jul 20:00,0,0,372.0290032504049,0,0
21 Jul 21:00,0,0,10548.736220694613,0,114.57084184903287
21 Jul 22:00,0,69.66148064150944,8509.825274462235,0,0
